date,KOR_date_index,KOR_d_l_cum_cases,GER_date_index,GER_d_l_cum_cases,ESP_date_index,ESP_d_l_cum_cases,NL_date_index,NL_d_l_cum_cases,UK_date_index,UK_d_l_cum_cases,SWE_date_index,SWE_d_l_cum_cases,FRA_date_index,FRA_d_l_cum_cases,IRN_date_index,IRN_d_l_cum_cases,ITA_date_index,ITA_d_l_cum_cases,USA_date_index,USA_d_l_cum_cases
2020-02-19,1,0.03922071315328157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-20,2,0.8527773261518292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-21,3,1.4303896809851144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-22,4,0.3613697882429401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-23,5,0.48592807214426426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-24,6,0.309706648569783,1,0.2794515733152654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-25,7,0.15714074449451498,2,0.3222032668200141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,8,0.26422683940770764,3,0.3709439137399313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-27,9,0.2895008059024926,4,0.28405981752098697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,10,0.25427122097335086,5,0.3115018693974978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.43151181704626485,NA,NA
2020-02-29,11,0.33257280987028093,6,0.18932054497886597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.31143615845988837,2,0.21034206912612952,NA,NA
2020-03-01,12,0.1924308333152709,7,0.20928739340316138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.7243455514158059,3,0.4469886108999104,NA,NA
2020-03-02,13,0.15466656309035187,8,0.20649191772176767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.16213316084896778,NA,NA
